1,2,12,30/01/2018 03:35
2,3,8,13/01/2018 06:28
3,2,12,06/02/2018 20:17
4,1,13,15/01/2018 10:25
5,2,15,01/01/2018 07:51
6,3,13,10/01/2018 16:02
7,1,20,28/01/2018 09:29
8,4,12,06/01/2018 09:32
9,4,8,10/02/2018 12:41
10,2,16,14/01/2018 16:56
11,4,3,25/01/2018 09:16
12,4,20,05/01/2018 16:03
13,1,17,09/02/2018 18:52
14,2,15,08/01/2018 05:54
15,2,18,11/01/2018 14:38
16,2,11,12/01/2018 22:39
17,4,10,28/01/2018 09:22
18,2,17,09/02/2018 07:00
19,1,7,02/01/2018 01:02
20,3,17,01/02/2018 22:10
