1,13,20,2018-01-24 01:58:14,616.99,2
2,15,17,2017-10-18 16:53:39,248.31,1
3,17,4,2017-11-25 11:42:30,784.92,7
4,1,6,2017-01-20 00:01:05,343.07,6
5,19,13,2017-10-14 19:24:09,638.95,5
6,7,4,2017-02-16 14:50:01,471.88,7
7,4,9,2017-01-14 21:20:28,1055.41,8
8,5,17,2017-01-26 19:50:24,379.61,3
9,19,17,2017-06-21 13:06:49,344.43,1
10,14,8,2017-06-21 23:03:02,565.01,3
11,8,2,2017-05-11 16:21:06,630.01,1
12,10,14,2017-10-06 11:32:10,724.58,6
13,13,18,2017-12-21 00:55:24,804.79,6
14,19,4,2017-04-04 09:22:29,914.96,6
15,12,16,2017-05-20 15:15:53,345.5,7
16,14,10,2017-02-16 14:35:59,876.17,8
17,17,4,2017-11-29 19:11:24,331.93,8
18,7,15,2017-07-14 15:29:31,967.38,7
19,6,17,2017-03-16 12:09:43,264.85,8
20,7,12,2017-10-28 08:43:01,1052.9,1
