1,16,17,24/11/2017 17:48,361.52,8
2,5,14,14/05/2017 11:03,526.77,4
3,19,1,09/10/2017 20:30,814.78,7
4,6,3,13/09/2017 16:18,724.25,7
5,15,5,20/02/2017 22:40,828.51,8
6,11,20,25/02/2017 22:21,965,2
7,17,10,06/07/2017 11:47,1168.05,5
8,3,14,24/09/2017 19:04,272.29,5
9,20,13,11/11/2017 11:22,520.63,6
10,11,17,17/12/2017 03:35,839.05,5
11,20,12,04/09/2017 00:00,1010.91,6
12,20,20,03/06/2017 06:12,539.2,4
13,4,4,24/08/2017 20:31,1186.13,1
14,9,6,05/10/2017 07:45,813.07,3
15,12,3,09/09/2017 02:44,927.39,3
16,16,13,20/10/2017 00:38,952.91,3
17,10,11,14/04/2017 23:14,1171.83,4
18,20,13,21/10/2017 09:21,749.22,6
19,9,5,09/09/2017 04:24,554.06,5
20,2,15,08/02/2017 00:53,915.84,6
