1,1,1,2018-01-13 14:09:12
2,4,20,2018-01-17 04:30:21
3,1,4,2018-01-16 10:55:07
4,3,3,2018-01-28 04:27:52
5,3,2,2018-01-01 01:10:16
6,3,2,2018-02-06 15:59:25
7,2,6,2018-01-02 04:51:09
8,1,5,2018-01-16 18:08:21
9,4,4,2018-01-20 05:14:35
10,4,4,2018-01-23 08:11:10
11,3,12,2018-02-11 16:51:59
12,2,20,2018-01-07 00:20:12
13,4,13,2018-02-04 00:35:44
14,1,13,2018-01-01 10:05:00
15,4,16,2018-01-20 09:23:18
16,2,11,2018-01-29 19:33:06
17,2,11,2018-01-12 09:49:51
18,4,1,2018-01-12 11:18:17
19,2,1,2018-02-03 01:57:31
20,1,5,2018-01-14 20:20:43
