1,FKYR72W0R6HP6,Vascular Biogenics Ltd.,cleward0@wsj.com,vzaniolini0@nifty.com,8353118705,1473
2,TDOL09F9V5MI2,Asure Software Inc,bive1@soundcloud.com,omattiacci1@360.cn,3312263471,794
3,XFPT51C9V0EO4,Semiconductor  Manufacturing International Corporation,fbowfin2@ftc.gov,kthorns2@squidoo.com,9822612387,1174
4,ZJLX59C8T9NY4,W.R. Grace & Co.,bcoomes3@imgur.com,qhurdle3@networksolutions.com,4023227273,1336
5,RLMD28F0V8VV7,"GSI Technology, Inc.",thaxell4@irs.gov,hshildrake4@discovery.com,2754160759,664
6,GOMI38B3Z8MX4,Guggenheim Strategic Opportunities Fund,tabry5@sitemeter.com,aokenden5@domainmarket.com,4709869258,1089
7,OWFN16F4H2KE8,"Bojangles&#39;, Inc.",hwhiteside6@skype.com,afarlambe6@constantcontact.com,9602265998,1350
8,KJEE36F8L7UM4,"Foundation Medicine, Inc.",mmalinowski7@umn.edu,mfoxon7@rediff.com,9389264643,1430
9,UDZQ50I0Q7PA2,iShares MSCI Qatar Capped ETF,dflips8@blogspot.com,jglenny8@weibo.com,2515075327,767
10,NGZO06P1Q0MF8,"CBAK Energy Technology, Inc.",sbowmaker9@globo.com,chadye9@sourceforge.net,1802586856,1218
11,BJQP15J0H4RL3,Ivy NextShares,tstaynesa@themeforest.net,zcauliera@usgs.gov,2597405392,1019
12,SWBF10F7T0MR6,"Codexis, Inc.",toreganb@miitbeian.gov.cn,nhazeldeneb@facebook.com,5435531496,940
13,ARLS35L3G1RB7,"Arch Coal, Inc.",phollyarc@taobao.com,rsidlowc@bizjournals.com,6616403683,1118
14,LFUN41M4N9NS3,"Aquinox Pharmaceuticals, Inc.",mcribbinsd@ebay.com,clandsburyd@gov.uk,2169598803,1287
15,ETSO75T4B0CU0,Federal Signal Corporation,idulye@tinypic.com,bashingdene@mediafire.com,4936737704,810
16,RHQD95S1B6GM9,First Trust NASDAQ-100 Equal Weighted Index Fund,hallcockf@creativecommons.org,dmeakesf@shareasale.com,4039004414,712
17,YMTV67A8R8HV0,Kohl&#39;s Corporation,mjoriog@unesco.org,ktrazzig@prlog.org,3552752777,1052
18,HCEM77P1C7SG2,Alliance Data Systems Corporation,kcoonihanh@imdb.com,rbantickh@vk.com,6623837879,1305
19,TBAC52B7F9ZB6,"TRC Companies, Inc.",sparkeyi@mapquest.com,hedmetti@parallels.com,3805623059,1278
20,IFVT95F9Q2EN6,Abraxas Petroleum Corporation,csennerj@cam.ac.uk,athayrej@google.fr,4918062813,1104
