1,3,16,02/02/2018 03:56
2,2,2,11/01/2018 06:36
3,2,14,17/01/2018 00:06
4,3,20,11/01/2018 05:32
5,1,16,12/02/2018 16:48
6,2,16,10/01/2018 10:48
7,2,2,06/01/2018 14:01
8,4,20,03/02/2018 18:10
9,1,12,08/02/2018 15:07
10,1,13,22/01/2018 09:38
11,1,19,06/01/2018 23:50
12,2,2,05/02/2018 05:07
13,4,10,03/01/2018 02:20
14,1,17,10/01/2018 23:56
15,4,2,05/01/2018 14:58
16,4,11,11/02/2018 07:22
17,4,13,22/01/2018 14:37
18,4,3,08/01/2018 22:55
19,4,1,08/02/2018 22:07
20,1,9,09/01/2018 16:41
