1,3,9,25/01/17 22:38,472.98,1
2,2,17,15/01/18 05:59,261.27,5
3,3,9,15/01/18 14:05,902.17,7
4,3,16,23/06/17 13:23,320.14,6
5,2,6,04/03/17 00:14,654.82,1
6,2,20,25/08/17 11:50,560.71,4
7,2,2,10/10/17 18:13,720.59,6
8,2,8,11/02/17 09:17,996.56,4
9,2,9,21/08/17 00:16,974.5,5
10,3,6,08/07/17 04:20,1170.52,4
11,3,3,07/08/17 00:04,336.9,4
12,3,17,18/12/17 21:37,398.58,4
13,3,19,17/06/17 22:45,734.79,5
14,2,6,08/04/17 10:21,811.24,5
15,3,20,04/01/18 11:41,937.79,4
16,1,12,17/09/17 12:14,314.4,6
17,2,14,24/12/17 22:10,641.06,8
18,3,3,06/12/17 11:09,1194.83,5
19,2,1,09/10/17 17:35,791.06,6
20,2,18,12/12/17 04:14,927.45,1
