1,11,16,2017-01-20 04:58:20,932.58,5
2,15,13,2017-01-19 04:49:17,1146.7,7
3,19,6,2017-03-02 21:00:53,399.34,4
4,10,13,2017-01-02 10:03:15,709.38,4
5,20,4,2017-06-20 01:21:23,854.52,2
6,18,16,2017-12-21 05:00:39,1195.59,6
7,8,20,2017-02-05 21:17:52,437.52,7
8,18,17,2017-08-24 14:13:57,621.66,6
9,11,8,2017-03-21 05:54:27,287.58,1
10,13,6,2017-11-17 03:42:13,868.02,3
11,12,20,2017-06-12 09:01:54,1150.75,1
12,5,2,2017-12-10 12:42:06,726.11,1
13,11,20,2017-12-14 01:52:17,548.19,1
14,18,4,2017-08-21 08:23:44,1163.84,4
15,20,2,2017-05-07 17:02:15,298.01,7
16,19,12,2017-11-20 20:47:43,595.7,7
17,17,11,2017-08-23 22:27:33,587.01,7
18,7,8,2017-03-02 08:53:58,631.03,4
19,11,20,2018-01-13 04:36:50,770.7,3
20,19,18,2017-12-08 04:07:40,345.39,3
